2024-06-11 14:03:02,265 - INFO - Starting Supertrend calculation
2024-06-11 14:03:02,299 - INFO - 
Calculated basic upper and lower bands:
                 Ticker        Date      Time      Open      High       Low     Close  Volume  Open Interest            DateTime        hl2      tr     atr  basic_upper_band  basic_lower_band
123  NIFTY BANK.NSE_IDX  03/01/2024  11:08:59  47660.10  47672.65  47656.55  47661.25       0              0 2024-03-01 11:08:59  47664.600   16.10  16.835         47715.105         47614.095
124  NIFTY BANK.NSE_IDX  03/01/2024  11:09:59  47662.25  47664.10  47651.85  47660.95       0              0 2024-03-01 11:09:59  47657.975   12.25  16.290         47706.845         47609.105
125  NIFTY BANK.NSE_IDX  03/01/2024  11:10:59  47659.70  47671.70  47657.10  47657.10       0              0 2024-03-01 11:10:59  47664.400   14.60  15.670         47711.410         47617.390
126  NIFTY BANK.NSE_IDX  03/01/2024  11:11:59  47655.90  47658.80  47643.35  47652.05       0              0 2024-03-01 11:11:59  47651.075   15.45  15.480         47697.515         47604.635
127  NIFTY BANK.NSE_IDX  03/01/2024  11:12:59  47652.85  47668.00  47648.90  47664.00       0              0 2024-03-01 11:12:59  47658.450   19.10  16.485         47707.905         47608.995
128  NIFTY BANK.NSE_IDX  03/01/2024  11:13:59  47665.55  47686.30  47664.90  47681.90       0              0 2024-03-01 11:13:59  47675.600   22.30  15.830         47723.090         47628.110
129  NIFTY BANK.NSE_IDX  03/01/2024  11:14:59  47678.65  47683.65  47668.45  47669.85       0              0 2024-03-01 11:14:59  47676.050   15.20  15.930         47723.840         47628.260
130  NIFTY BANK.NSE_IDX  03/01/2024  11:15:59  47670.90  47684.85  47670.05  47681.85       0              0 2024-03-01 11:15:59  47677.450   15.00  16.180         47725.990         47628.910
131  NIFTY BANK.NSE_IDX  03/01/2024  11:16:59  47678.60  47683.40  47666.70  47666.70       0              0 2024-03-01 11:16:59  47675.050   16.70  16.440         47724.370         47625.730
132  NIFTY BANK.NSE_IDX  03/01/2024  11:17:59  47666.75  47680.35  47662.10  47666.80       0              0 2024-03-01 11:17:59  47671.225   18.25  16.495         47720.710         47621.740
133  NIFTY BANK.NSE_IDX  03/01/2024  11:18:59  47665.85  47669.85  47641.70  47654.60       0              0 2024-03-01 11:18:59  47655.775   28.15  17.700         47708.875         47602.675
134  NIFTY BANK.NSE_IDX  03/01/2024  11:19:59  47659.50  47692.95  47658.75  47674.65       0              0 2024-03-01 11:19:59  47675.850   38.35  20.310         47736.780         47614.920
135  NIFTY BANK.NSE_IDX  03/01/2024  11:20:59  47668.95  47676.80  47656.00  47670.05       0              0 2024-03-01 11:20:59  47666.400   20.80  20.930         47729.190         47603.610
136  NIFTY BANK.NSE_IDX  03/01/2024  11:21:59  47672.00  47689.35  47664.80  47689.35       0              0 2024-03-01 11:21:59  47677.075   24.55  21.840         47742.595         47611.555
137  NIFTY BANK.NSE_IDX  03/01/2024  11:22:59  47692.25  47694.10  47677.95  47679.05       0              0 2024-03-01 11:22:59  47686.025   16.15  21.545         47750.660         47621.390
138  NIFTY BANK.NSE_IDX  03/01/2024  11:23:59  47679.70  47688.20  47672.05  47673.90       0              0 2024-03-01 11:23:59  47680.125   16.15  20.930         47742.915         47617.335
139  NIFTY BANK.NSE_IDX  03/01/2024  11:24:59  47679.15  47681.90  47667.35  47675.60       0              0 2024-03-01 11:24:59  47674.625   14.55  20.865         47737.220         47612.030
140  NIFTY BANK.NSE_IDX  03/01/2024  11:25:59  47679.00  47679.00  47658.60  47661.80       0              0 2024-03-01 11:25:59  47668.800   20.40  21.405         47733.015         47604.585
141  NIFTY BANK.NSE_IDX  03/01/2024  11:26:59  47664.25  47697.10  47657.45  47697.10       0              0 2024-03-01 11:26:59  47677.275   39.65  23.700         47748.375         47606.175
142  NIFTY BANK.NSE_IDX  03/01/2024  11:27:59  47695.40  47698.85  47663.85  47670.65       0              0 2024-03-01 11:27:59  47681.350   35.00  25.375         47757.475         47605.225
143  NIFTY BANK.NSE_IDX  03/01/2024  11:28:59  47672.35  47673.55  47661.30  47668.20       0              0 2024-03-01 11:28:59  47667.425   12.25  23.785         47738.780         47596.070
144  NIFTY BANK.NSE_IDX  03/01/2024  11:29:59  47669.80  47673.75  47664.20  47665.50       0              0 2024-03-01 11:29:59  47668.975    9.55  20.905         47731.690         47606.260
145  NIFTY BANK.NSE_IDX  03/01/2024  11:30:59  47665.45  47676.70  47663.25  47665.30       0              0 2024-03-01 11:30:59  47669.975   13.45  20.170         47730.485         47609.465
146  NIFTY BANK.NSE_IDX  03/01/2024  11:31:59  47665.70  47671.90  47659.05  47659.05       0              0 2024-03-01 11:31:59  47665.475   12.85  19.000         47722.475         47608.475
147  NIFTY BANK.NSE_IDX  03/01/2024  11:32:59  47663.15  47666.70  47649.55  47649.55       0              0 2024-03-01 11:32:59  47658.125   17.15  19.100         47715.425         47600.825
148  NIFTY BANK.NSE_IDX  03/01/2024  11:33:59  47650.55  47659.75  47644.90  47658.65       0              0 2024-03-01 11:33:59  47652.325   14.85  18.970         47709.235         47595.415
149  NIFTY BANK.NSE_IDX  03/01/2024  11:34:59  47659.25  47676.45  47654.55  47667.15       0              0 2024-03-01 11:34:59  47665.500   21.90  19.705         47724.615         47606.385
150  NIFTY BANK.NSE_IDX  03/01/2024  11:35:59  47667.70  47670.20  47660.30  47663.30       0              0 2024-03-01 11:35:59  47665.250    9.90  18.655         47721.215         47609.285
151  NIFTY BANK.NSE_IDX  03/01/2024  11:36:59  47664.95  47671.40  47660.05  47669.80       0              0 2024-03-01 11:36:59  47665.725   11.35  15.825         47713.200         47618.250
152  NIFTY BANK.NSE_IDX  03/01/2024  11:37:59  47670.35  47678.85  47664.50  47672.75       0              0 2024-03-01 11:37:59  47671.675   14.35  13.760         47712.955         47630.395
153  NIFTY BANK.NSE_IDX  03/01/2024  11:38:59  47676.95  47681.75  47664.80  47679.20       0              0 2024-03-01 11:38:59  47673.275   16.95  14.230         47715.965         47630.585
154  NIFTY BANK.NSE_IDX  03/01/2024  11:39:59  47679.55  47680.45  47668.70  47668.70       0              0 2024-03-01 11:39:59  47674.575   11.75  14.450         47717.925         47631.225
155  NIFTY BANK.NSE_IDX  03/01/2024  11:40:59  47673.30  47683.05  47665.75  47673.15       0              0 2024-03-01 11:40:59  47674.400   17.30  14.835         47718.905         47629.895
156  NIFTY BANK.NSE_IDX  03/01/2024  11:41:59  47674.55  47685.85  47673.30  47679.60       0              0 2024-03-01 11:41:59  47679.575   12.70  14.820         47724.035         47635.115
157  NIFTY BANK.NSE_IDX  03/01/2024  11:42:59  47680.55  47721.40  47677.35  47713.05       0              0 2024-03-01 11:42:59  47699.375   44.05  17.510         47751.905         47646.845
158  NIFTY BANK.NSE_IDX  03/01/2024  11:43:59  47716.60  47760.95  47716.60  47747.25       0              0 2024-03-01 11:43:59  47738.775   47.90  20.815         47801.220         47676.330
159  NIFTY BANK.NSE_IDX  03/01/2024  11:44:59  47745.30  47754.35  47737.40  47746.75       0              0 2024-03-01 11:44:59  47745.875   16.95  20.320         47806.835         47684.915
160  NIFTY BANK.NSE_IDX  03/01/2024  11:45:59  47747.30  47756.30  47741.80  47748.85       0              0 2024-03-01 11:45:59  47749.050   14.50  20.780         47811.390         47686.710
161  NIFTY BANK.NSE_IDX  03/01/2024  11:46:59  47746.25  47753.60  47737.35  47740.30       0              0 2024-03-01 11:46:59  47745.475   16.25  21.270         47809.285         47681.665
162  NIFTY BANK.NSE_IDX  03/01/2024  11:47:59  47747.70  47777.05  47743.15  47759.95       0              0 2024-03-01 11:47:59  47760.100   36.75  23.510         47830.630         47689.570
163  NIFTY BANK.NSE_IDX  03/01/2024  11:48:59  47759.40  47775.90  47752.85  47762.65       0              0 2024-03-01 11:48:59  47764.375   23.05  24.120         47836.735         47692.015
164  NIFTY BANK.NSE_IDX  03/01/2024  11:49:59  47763.35  47780.15  47759.50  47763.65       0              0 2024-03-01 11:49:59  47769.825   20.65  25.010         47844.855         47694.795
165  NIFTY BANK.NSE_IDX  03/01/2024  11:50:59  47764.25  47766.35  47749.35  47749.35       0              0 2024-03-01 11:50:59  47757.850   17.00  24.980         47832.790         47682.910
166  NIFTY BANK.NSE_IDX  03/01/2024  11:51:59  47750.55  47762.95  47746.30  47761.05       0              0 2024-03-01 11:51:59  47754.625   16.65  25.375         47830.750         47678.500
167  NIFTY BANK.NSE_IDX  03/01/2024  11:52:59  47767.40  47767.40  47753.00  47757.15       0              0 2024-03-01 11:52:59  47760.200   14.40  22.410         47827.430         47692.970
